R,tt_final_test_nre,tt_avg_online_nre_test,tt_avg_update_time_s,tt_params,sample_rate
20,0.136763,0.13521866666666668,1.9809074074074073,74040.0,0.1
40,0.13845466666666664,0.14023133333333335,2.293862962962963,234000.0,0.1
60,0.13734533333333332,0.136701,3.099477777777778,497160.0,0.1
80,0.14325200000000002,0.14585533333333334,4.904255555555555,863520.0,0.1
100,0.13926733333333333,0.13774666666666666,7.4129000000000005,1333080.0,0.1
20,0.135346,0.13325166666666666,2.0319444444444446,74040.0,0.2
40,0.136572,0.13663533333333333,2.3708925925925928,234000.0,0.2
60,0.13898366666666664,0.136136,3.2432703703703702,497160.0,0.2
80,0.14047133333333334,0.14004333333333333,5.02484074074074,863520.0,0.2
100,0.13692300000000002,0.13419066666666665,7.387848148148148,1333080.0,0.2
20,0.13592200000000002,0.13369333333333333,1.9573629629629632,74040.0,0.3
40,0.13823066666666667,0.13691666666666666,2.3115185185185183,234000.0,0.3
60,0.13779866666666665,0.13588599999999998,3.196066666666667,497160.0,0.3
80,0.13977133333333333,0.13974433333333333,4.913288888888889,863520.0,0.3
100,0.13650833333333334,0.135265,7.444300000000001,1333080.0,0.3
