sample_rate,cp_final_test_nre,cp_avg_online_nre_test,cp_avg_update_time_s,cp_params,dataset,tt_R,tt_final_test_nre,tt_avg_online_nre_test,tt_avg_update_time_s,tt_params,paper_oftd_nre,tt_gap_vs_paper,cp_gap_vs_paper
0.1,0.091488,0.09204,0.15333242933537053,30768.0,condition,80,0.112457,0.137741,0.6585580595874714,863520,0.116,-0.0035430000000000045,-0.024512000000000006
0.2,0.071119,0.067252,0.1528596256684492,30768.0,condition,80,0.091922,0.118052,0.6525087089381207,863520,0.094,-0.0020779999999999965,-0.022881
0.3,0.066656,0.061765,0.1526273873185638,30768.0,condition,80,0.087814,0.109005,0.7027723834988541,863520,0.093,-0.005185999999999996,-0.026343999999999992
