model,R,seeds,params,final_test_nre,final_test_nre_std,avg_online_nre_test,avg_update_time_s,total_train_time_s,infer_time_s,gap_vs_paper_foreman_sr03
CP,5,3,19215.0,0.17003333333333334,0.0028533834886557722,0.14116366666666666,1.4227185185185185,14.156433333333334,0.0010646666666666667,0.08603333333333334
CP,10,3,21150.0,0.15123633333333333,0.002834646421219629,0.11990666666666668,1.5372185185185188,14.692066666666667,0.001132,0.06723633333333333
CP,20,3,25020.0,0.13329033333333332,0.0032546196910443123,0.10184633333333333,1.6195148148148146,15.730400000000001,0.001511,0.04929033333333331
CP,40,3,32760.0,0.117369,0.004132109993695715,0.08811133333333333,1.7080962962962962,15.928633333333332,0.002037,0.033368999999999996
CP,60,3,40500.0,0.10445533333333334,0.0018431685580362221,0.080392,1.8864185185185187,17.670166666666667,0.003136,0.02045533333333334
CP,80,3,48240.0,0.09901733333333333,0.002319056992256411,0.07705133333333333,2.1406703703703704,19.81703333333333,0.005119666666666667,0.015017333333333327
CP,100,3,55980.0,0.09263433333333333,0.0007652923188777784,0.07433166666666667,2.6211592592592594,24.149966666666668,0.008887333333333332,0.008634333333333327
Dense TT,5,3,21795.0,0.16795366666666667,0.0022968178711716184,0.14873766666666668,1.6808296296296295,15.783066666666665,0.0004956666666666667,0.08395366666666666
Dense TT,10,3,32760.0,0.14384933333333333,0.002001804269486251,0.13636133333333333,1.8403148148148147,17.026300000000003,0.0005536666666666666,0.059849333333333324
Dense TT,20,3,74040.0,0.13533066666666668,0.0021854254353176525,0.13411199999999998,1.9553962962962963,18.118166666666667,0.000647,0.05133066666666668
Dense TT,40,3,234000.0,0.13825066666666666,0.0030515914427284236,0.13799966666666666,2.242614814814815,20.568133333333332,0.001162,0.054250666666666655
Dense TT,60,3,497160.0,0.13793533333333333,0.00138191690536491,0.13569666666666666,2.962940740740741,27.482466666666667,0.0021206666666666665,0.05393533333333332
Dense TT,80,3,863520.0,0.14107666666666666,0.002038108518537053,0.141199,4.562088888888889,42.2661,0.004456666666666667,0.05707666666666665
Dense TT,100,3,1333080.0,0.13883733333333334,0.0014503548990965418,0.13992866666666667,6.842222222222222,63.64886666666666,0.006914,0.054837333333333335
