dataset,mode,seed,R,params,init_time_s,online_time_s,total_train_time_s,infer_time_s,avg_online_nre_train,avg_online_nre_test,final_train_nre,final_test_nre,init_loss_best,final_train_loss,final_test_loss,avg_flops_m,num_updates,final_shape
foreman.mat,multi,42,20,74040,0.5434,19.1317,19.6751,0.000726,0.133666,0.135079,0.133961,0.134558,4.717504,0.008751,0.008815,nan,9,"(140,170,100)"
foreman.mat,multi,42,40,234000,0.5871,20.6977,21.2848,0.001297,0.137327,0.138578,0.137592,0.138143,4.813265,0.009231,0.009291,nan,9,"(140,170,100)"
foreman.mat,multi,42,60,497160,0.5763,27.6307,28.207,0.003227,0.134595,0.136044,0.135943,0.136521,5.17705,0.009011,0.009074,nan,9,"(140,170,100)"
foreman.mat,multi,42,80,863520,2.448,44.2825,46.7306,0.005605,0.149078,0.150009,0.145432,0.1459,5.186339,0.010313,0.010364,nan,9,"(140,170,100)"
foreman.mat,multi,42,100,1333080,9.7568,64.9684,74.7251,0.008059,0.139179,0.140818,0.137949,0.138594,2.188509,0.009279,0.009352,nan,9,"(140,170,100)"
foreman.mat,multi,7,20,74040,0.5815,17.1501,17.7316,0.000735,0.134521,0.136307,0.139264,0.140063,2.902797,0.009456,0.009552,nan,9,"(140,170,100)"
foreman.mat,multi,7,40,234000,0.3329,20.7001,21.033,0.001461,0.136161,0.137968,0.13642,0.137238,6.068125,0.009074,0.009171,nan,9,"(140,170,100)"
foreman.mat,multi,7,60,497160,0.5828,28.0016,28.5843,0.003157,0.136313,0.138491,0.137287,0.138118,4.629766,0.009189,0.009289,nan,9,"(140,170,100)"
foreman.mat,multi,7,80,863520,1.6869,45.3718,47.0587,0.005303,0.146042,0.147554,0.142511,0.143216,6.62689,0.009902,0.009987,nan,9,"(140,170,100)"
foreman.mat,multi,7,100,1333080,3.3451,66.9337,70.2789,0.008375,0.135796,0.137824,0.136564,0.137515,5.588787,0.009093,0.009208,nan,9,"(140,170,100)"
foreman.mat,multi,123,20,74040,0.7422,17.2027,17.9449,0.000765,0.132613,0.13427,0.134181,0.135668,4.336239,0.008776,0.008973,nan,9,"(140,170,100)"
foreman.mat,multi,123,40,234000,0.3728,20.5365,20.9093,0.001639,0.142425,0.144148,0.138572,0.139983,7.880374,0.00936,0.009553,nan,9,"(140,170,100)"
foreman.mat,multi,123,60,497160,2.3685,28.0536,30.4221,0.003507,0.133281,0.135568,0.136026,0.137397,2.869537,0.009019,0.009204,nan,9,"(140,170,100)"
foreman.mat,multi,123,80,863520,1.7174,42.7606,44.478,0.005525,0.137947,0.140003,0.139174,0.14064,6.934937,0.009441,0.009643,nan,9,"(140,170,100)"
foreman.mat,multi,123,100,1333080,13.5442,68.2462,81.7904,0.008361,0.132638,0.134598,0.140172,0.141693,2.590027,0.009577,0.009788,nan,9,"(140,170,100)"
