dataset,mode,seed,R,params,init_time_s,online_time_s,total_train_time_s,infer_time_s,avg_online_nre_train,avg_online_nre_test,final_train_nre,final_test_nre,init_loss_best,final_train_loss,final_test_loss,avg_flops_m
foreman.mat,multi,7,20,74040,0.5626,2.9873,3.5499,0.003603,0.188327,0.187717,0.186375,0.186297,12.792524,0.016919,0.016904,3.2784
foreman.mat,multi,7,40,234000,0.6332,3.4333,4.0664,0.003481,0.185121,0.184795,0.185917,0.185962,16.54966,0.016836,0.016843,11.2434
foreman.mat,multi,7,60,497160,1.1304,4.462,5.5924,0.009213,0.195614,0.195663,0.198968,0.19879,18.043229,0.019283,0.019247,24.3967
foreman.mat,multi,7,80,863520,1.9407,7.3535,9.2942,0.008729,0.207141,0.207109,0.201165,0.201284,25.994975,0.019711,0.019733,42.7383
foreman.mat,multi,7,100,1333080,3.3807,10.2158,13.5965,0.011215,0.23808,0.238225,0.185839,0.185615,25.093091,0.016822,0.016781,66.2681
