R,avg_online_nre_test,final_test_nre,params,infer_time_s,online_time_s,total_train_time_s,avg_online_update_time_s,num_updates,final_test_loss
20,0.13325166666666666,0.135346,74040.0,0.0008173333333333334,18.287499999999998,18.982,2.0319444444444446,9.0,0.008925
40,0.13663533333333333,0.136572,234000.0,0.0015593333333333334,21.338033333333332,21.983033333333335,2.3708925925925928,9.0,0.009087
60,0.136136,0.13898366666666664,497160.0,0.002950333333333333,29.18943333333333,30.2787,3.2432703703703702,9.0,0.009411333333333334
80,0.14004333333333333,0.14047133333333334,863520.0,0.005639000000000001,45.22356666666667,48.35563333333334,5.02484074074074,9.0,0.009615666666666666
100,0.13419066666666665,0.13692300000000002,1333080.0,0.008525,66.49063333333334,75.4896,7.387848148148148,9.0,0.009134333333333333
