dataset,seed,model,R,params,avg_online_nre_test,final_test_nre,init_time_s,online_time_s,total_train_time_s,infer_time_s,steps,final_shape
foreman.mat,42,cp_multi,40,32760,0.12700501351198273,0.13426564235940733,6.195442299999968,19.384597899999903,25.58004019999987,0.002159485000004224,10,"(144, 176, 100)"
foreman.mat,42,ftd,40,234000,0.12785787310970367,0.1347138247511307,7.214865400000008,22.01795029999994,29.232815699999946,0.0010779749999983324,10,"(144, 176, 100)"
foreman.mat,7,cp_multi,40,32760,0.1328598712880177,0.14176322080706574,6.104491800000005,18.792701900000225,24.89719370000023,0.0022156199999983526,10,"(144, 176, 100)"
foreman.mat,7,ftd,40,234000,0.12851933948297461,0.1382038351520546,7.177400200000079,22.139374100000282,29.31677430000036,0.001272870000002513,10,"(144, 176, 100)"
foreman.mat,123,cp_multi,40,32760,0.12610262358631724,0.1381208461582716,6.090149899999915,18.86199520000025,24.952145100000166,0.0017639799999983551,10,"(144, 176, 100)"
foreman.mat,123,ftd,40,234000,0.12584756755657656,0.13434077159793634,7.193964700000038,22.17184379999992,29.365808499999957,0.0016191900000023906,10,"(144, 176, 100)"
