dataset,seed,model,R,params,avg_online_nre_test,final_test_nre,init_time_s,online_time_s,total_train_time_s,infer_time_s,steps,final_shape
foreman.mat,42,cp_multi,40,32760,0.1921804890760908,0.1774434542129163,0.4203440999999657,2.0376058000006196,2.4579499000005853,0.0031404199999997217,10,"(144, 176, 100)"
foreman.mat,42,ftd,40,234000,0.22347299419385647,0.18617143226816277,0.4948431000002529,2.461034999999356,2.955878099999609,0.002325444999996762,10,"(144, 176, 100)"
foreman.mat,7,cp_multi,40,32760,0.18857377288907787,0.1739443920673402,0.3858464999998432,2.224303699999382,2.610150199999225,0.0031067749999920125,10,"(144, 176, 100)"
foreman.mat,7,ftd,40,234000,0.22456844546997434,0.19163005838449435,0.4990287000000535,2.5825024999999187,3.081531199999972,0.002244485000005625,10,"(144, 176, 100)"
foreman.mat,123,cp_multi,40,32760,0.18755213280889144,0.18485424400985756,0.43797070000027816,2.228437299999314,2.666407999999592,0.0031936950000044815,10,"(144, 176, 100)"
foreman.mat,123,ftd,40,234000,0.20552322009525806,0.2228703079816641,0.523457999999664,2.528076700000838,3.051534700000502,0.0021844399999963572,10,"(144, 176, 100)"
