model,seed,R,omega_a,omega_b,omega_c,avg_online_nre_test,final_test_nre,init_time_s,online_time_s,total_train_time_s
cp_single,42,100,,,0.3,0.12748715748738682,0.11634496335647866,4.599137700000028,109.94228410000005,114.54142180000008
ftd_single,42,100,0.3,0.3,0.3,0.2566008237990303,0.24015895861535427,35.918274199999814,601.5451353999997,637.4634095999995
ftd_single,42,100,1.5,1.5,0.3,0.2222715376681701,0.16402549283608753,36.59747809999999,588.5760734,625.1735515
