dataset,seed,model,R,params,avg_online_nre_test,final_test_nre,init_time_s,online_time_s,total_train_time_s,infer_time_s,steps,final_shape
foreman.mat,7,cp_multi,40,32760,0.1328598712880177,0.14176322080706574,7.869103899999573,27.118750000001455,34.98785390000103,0.0031384049999815034,10,"(144, 176, 100)"
foreman.mat,7,ftd,40,234000,0.12851933948297461,0.1382038351520546,11.11858360000042,31.76431539999885,42.88289899999927,0.0024727499999698923,10,"(144, 176, 100)"
