dataset,mode,seed,R,params,init_time_s,online_time_s,total_train_time_s,infer_time_s,avg_online_nre_train,avg_online_nre_test,final_train_nre,final_test_nre,init_loss_best,final_train_loss,final_test_loss,avg_flops_m,num_updates,final_shape,sample_rate
foreman.mat,multi,42,100,55980,0.4845,24.1111,24.5956,0.00972,0.067365,0.085615,0.093007,0.097959,0.027864,0.004218,0.004672,2.0633,9,"(140,170,100)",0.1
foreman.mat,multi,7,100,55980,0.1776,24.3267,24.5043,0.009712,0.068747,0.085717,0.095063,0.099674,0.196905,0.004406,0.004838,2.0633,9,"(140,170,100)",0.1
foreman.mat,multi,123,100,55980,0.2744,25.4091,25.6836,0.019634,0.06898,0.084615,0.093221,0.09785,0.161018,0.004236,0.004668,2.0633,9,"(140,170,100)",0.1
foreman.mat,multi,42,100,55980,0.1901,26.1908,26.3808,0.009398,0.070501,0.077809,0.092682,0.094976,0.654825,0.004189,0.004391,2.0633,9,"(140,170,100)",0.2
foreman.mat,multi,7,100,55980,0.3049,24.3649,24.6698,0.008441,0.069989,0.077018,0.093265,0.095289,0.497003,0.004236,0.004422,2.0633,9,"(140,170,100)",0.2
foreman.mat,multi,123,100,55980,0.3635,26.1779,26.5415,0.010496,0.069751,0.076144,0.091843,0.093956,0.523738,0.004108,0.004304,2.0633,9,"(140,170,100)",0.2
foreman.mat,multi,42,100,55980,0.5991,26.1075,26.7067,0.009843,0.070709,0.075763,0.091393,0.092974,0.5894,0.004071,0.004209,2.0633,9,"(140,170,100)",0.3
foreman.mat,multi,7,100,55980,0.3433,25.8907,26.234,0.009205,0.069756,0.074174,0.091727,0.093171,0.967693,0.004098,0.004228,2.0633,9,"(140,170,100)",0.3
foreman.mat,multi,123,100,55980,0.8249,25.6317,26.4566,0.010596,0.068783,0.073058,0.09022,0.091758,0.595099,0.003962,0.004107,2.0633,9,"(140,170,100)",0.3
