R,avg_online_nre_test,final_test_nre,params,infer_time_s,online_time_s,total_train_time_s,avg_online_update_time_s,num_updates,final_test_loss
20,0.13369333333333333,0.13592200000000002,74040.0,0.0008510000000000001,17.616266666666665,18.25153333333333,1.9573629629629632,9.0,0.009002333333333333
40,0.13691666666666666,0.13823066666666667,234000.0,0.0014436666666666667,20.80366666666667,21.547766666666664,2.3115185185185183,9.0,0.009315333333333333
60,0.13588599999999998,0.13779866666666665,497160.0,0.003332,28.7646,29.768766666666664,3.196066666666667,9.0,0.009252999999999999
80,0.13974433333333333,0.13977133333333333,863520.0,0.005454333333333333,44.21959999999999,46.80346666666667,4.913288888888889,9.0,0.009518666666666667
100,0.135265,0.13650833333333334,1333080.0,0.00786,66.9987,74.93996666666668,7.444300000000001,9.0,0.009080666666666667
