R,avg_online_nre_test,final_test_nre,params,infer_time_s,online_time_s,total_train_time_s,avg_online_update_time_s,num_updates,final_test_loss
20,0.13521866666666668,0.136763,74040.0,0.0007419999999999999,17.828166666666664,18.450533333333336,1.9809074074074073,9.0,0.009113333333333333
40,0.14023133333333335,0.13845466666666664,234000.0,0.0014656666666666666,20.644766666666666,21.0757,2.293862962962963,9.0,0.009338333333333334
60,0.136701,0.13734533333333332,497160.0,0.003297,27.895300000000002,29.071133333333336,3.099477777777778,9.0,0.009189000000000001
80,0.14585533333333334,0.14325200000000002,863520.0,0.005477666666666666,44.138299999999994,46.0891,4.904255555555555,9.0,0.009998
100,0.13774666666666666,0.13926733333333333,1333080.0,0.008265,66.7161,75.59813333333334,7.4129000000000005,9.0,0.009449333333333332
